block_index,offset,size,ascii_count,serial_candidates,zero_count,ff_count,numeric_candidates_count
849,59430,70,0,,0,70,0
850,59500,70,0,,0,70,0
851,59570,70,0,,0,70,0
852,59640,70,0,,0,70,0
853,59710,70,0,,0,70,0
854,59780,70,0,,0,70,0
855,59850,70,0,,0,70,0
856,59920,70,0,,0,70,0
857,59990,70,0,,0,70,0
858,60060,70,0,,0,70,0
859,60130,70,0,,0,70,0
860,60200,70,0,,0,70,0
861,60270,70,0,,0,70,0
862,60340,70,0,,0,70,0
863,60410,70,0,,0,70,0
864,60480,70,0,,0,70,0
865,60550,70,0,,0,70,0
866,60620,70,0,,0,70,0
867,60690,70,0,,0,70,0
868,60760,70,0,,0,70,0
869,60830,70,0,,0,70,0
870,60900,70,0,,0,70,0
871,60970,70,0,,0,70,0
872,61040,70,0,,0,70,0
873,61110,70,0,,0,70,0
874,61180,70,0,,0,70,0
875,61250,70,0,,0,70,0
876,61320,70,0,,0,70,0
877,61390,70,0,,0,70,0
878,61460,70,0,,0,70,0
879,61530,70,0,,0,70,0
880,61600,70,0,,0,70,0
881,61670,70,0,,0,70,0
882,61740,70,0,,0,70,0
883,61810,70,0,,0,70,0
884,61880,70,0,,0,70,0
885,61950,70,0,,0,70,0
886,62020,70,0,,0,70,0
887,62090,70,0,,0,70,0
888,62160,70,0,,0,70,0
889,62230,70,0,,0,70,0
890,62300,70,0,,0,70,0
891,62370,70,0,,0,70,0
892,62440,70,0,,0,70,0
893,62510,70,0,,0,70,0
894,62580,70,0,,0,70,0
895,62650,70,0,,0,70,0
896,62720,70,0,,0,70,0
897,62790,70,0,,0,70,0
898,62860,70,0,,0,70,0
899,62930,70,0,,0,70,0
900,63000,70,0,,0,70,0
901,63070,70,0,,0,70,0
902,63140,70,0,,0,70,0
903,63210,70,0,,0,70,0
904,63280,70,0,,0,70,0
905,63350,70,0,,0,70,0
906,63420,70,0,,0,70,0
907,63490,70,0,,0,70,0
908,63560,70,0,,0,70,0
909,63630,70,0,,0,70,0
910,63700,70,0,,0,70,0
911,63770,70,0,,0,70,0
912,63840,70,0,,0,70,0
913,63910,70,0,,0,70,0
914,63980,70,0,,0,70,0
915,64050,70,0,,0,70,0
916,64120,70,0,,0,70,0
917,64190,70,0,,0,70,0
918,64260,70,0,,0,70,0
919,64330,70,0,,0,70,0
920,64400,70,0,,0,70,0
921,64470,70,0,,0,70,0
922,64540,70,0,,0,70,0
923,64610,70,0,,0,70,0
924,64680,70,0,,0,70,0
925,64750,70,0,,0,70,0
926,64820,70,0,,0,70,0
927,64890,70,0,,0,70,0
928,64960,70,0,,0,70,0
929,65030,70,0,,0,70,0
930,65100,70,0,,0,70,0
931,65170,70,0,,0,70,0
932,65240,70,0,,0,70,0
933,65310,70,0,,0,70,0
934,65380,70,0,,0,70,0
935,65450,70,0,,0,70,0
936,65520,16,0,,0,16,0
